2018-03-01,1,
2018-03-02,1,
2018-03-03,1,
2018-03-04,1,
2018-03-05,1,
2018-03-06,1,
2018-03-07,1,
2018-03-08,1,
2018-03-09,1,
2018-03-10,1,
2018-03-11,1,
2018-03-12,1,
2018-03-13,1,
2018-03-14,1,
2018-03-15,1,
2018-03-16,1,
2018-03-17,1,
2018-03-18,1,
2018-03-19,1,
2018-03-20,1,
2018-03-21,1,
2018-03-22,1,
2018-03-23,1,
2018-03-24,1,
2018-03-25,1,
2018-03-26,1,
2018-03-27,1,
2018-03-28,1,
2018-03-29,1,
2018-03-30,1,
2018-03-31,1,
2018-02-01,1,
2018-02-02,1,
2018-02-03,1,
2018-02-04,1,
2018-02-05,1,
2018-02-06,1,
2018-02-07,1,
2018-02-08,1,
2018-02-09,1,
2018-02-10,1,
2018-02-11,1,
2018-02-12,1,
2018-02-13,1,
2018-02-14,1,
2018-02-15,1,
2018-02-16,1,
2018-02-17,1,
2018-02-18,1,
2018-02-19,1,
2018-02-20,1,
2018-02-21,1,
2018-02-22,1,
2018-02-23,1,
2018-02-24,1,
2018-02-25,1,
2018-02-26,1,
2018-02-27,1,
2018-02-28,1,
